model,metallic,split
3d66__1__100107_边几,0,train
3d66__1__100173_装饰31,0,train
3d66__1__100283_椅子_None,0,train
3d66__1__100644_吊灯1,3,train
3d66__1__100979_台灯2,0,train
3d66__1__101377_小桌子,0,train
3d66__1__101498_椅子3,0,train
3d66__1__101872_床头柜,5,test
3d66__1__1018_雕塑002,0,train
3d66__1__101938_床尾凳,1,train
3d66__1__101995_鲸鱼抱枕,0,train
3d66__1__102018_装饰品6,1,test
3d66__1__102693_洗漱用品-5_None,5,train
3d66__1__104176_面包2_,0,train
3d66__1__104415_杯子5,0,test
3d66__1__10508_古人雕塑01,0,test
3d66__1__105169_酒柜2,5,test
3d66__1__105396_行李箱,3,train
3d66__1__10694_沙发2,5,train
3d66__1__10702_柜子01,5,train
3d66__1__109149_裙子3_2,3,test
3d66__1__11029_椅子7,5,train
3d66__1__11238_桌子2_None,5,val
3d66__1__13395_相机01,0,train
3d66__1__14212_马01,0,test
3d66__1__15350_化妆品2,5,val
3d66__1__15947_香料,5,train
3d66__1__16216_饰品摆件01,0,train
3d66__1__18162_游戏机,0,train
3d66__1__18594_酒02,5,train
3d66__1__18628_餐刀_None,3,train
3d66__2__21198_柜子_08,0,train
3d66__2__21337_瓶子_04,5,train
3d66__2__2163_衣服_05,0,val
3d66__2__21688_装饰品_04,3,val
3d66__2__22586_热水器03,0,train
3d66__2__22758_台灯6,0,val
3d66__2__23183_柜子01_None,0,test
3d66__2__23858_椅子01_None,5,test
3d66__2__24523_床01,0,train
3d66__2__24564_沙发_03,0,train
3d66__2__24757_装饰品_06,5,train
3d66__2__25024_书籍01,5,train
3d66__2__25979_角色02,5,train
3d66__2__26253_摆件02,0,train
3d66__2__2703_机器人手臂,0,val
3d66__2__27463_雕塑,5,train
3d66__2__29452_沙发_01_None,0,val
3d66__2__29564_落地灯_02,2,val
3d66__2__29750_单椅_02,3,train
3d66__2__29766_沙发01,5,train
3d66__2__29777_衣服_06,0,train
3d66__2__29996_罐子001,5,test
3d66__3__30171_床尾凳,3,train
3d66__3__30314_吊灯_05,5,val
3d66__3__30561_椅子2,0,train
3d66__3__30800_烤箱10_None,1,test
3d66__3__30891_碟子_107,5,train
3d66__3__30919_椅子_01,0,train
3d66__3__31057_柜子01,3,train
3d66__3__31271_电视柜,5,train
3d66__3__31359_沙发_01,0,train
3d66__3__31365_台灯,5,train
3d66__3__31410_面包机01,3,train
3d66__3__31441_书籍_04,0,train
3d66__3__35628_角色03_None,0,train
3d66__3__36266_手提包_007,5,train
3d66__3__36451_衣服_039,3,train
3d66__3__37903_衣娄_14,5,train
3d66__3__38335_儿童抱枕_05,5,train
3d66__3__39701_交通工具_05,3,val
3d66__3__39854_道具_49_None,2,train
3d66__4__4070_壁灯01,5,train
3d66__4__42650_饰品_06_None,5,test
3d66__4__44264_Box5495,5,train
3d66__4__44358_柜子1,5,train
3d66__4__45795_柜子02,0,train
3d66__4__45945_茶几01,2,train
3d66__4__46488_摆件02_None,3,train
3d66__4__4774_盆栽04_None,5,train
3d66__4__48457_摆件16_None,0,train
3d66__4__48950_食物01,5,train
3d66__5__50061_床100,0,train
3d66__5__50253_桌子01,0,test
3d66__5__50828_沙发01,5,train
3d66__5__51279_双人床,0,train
3d66__5__52308_床01,0,train
3d66__5__52408_沙发01,5,val
3d66__5__54691_凳子02_None,5,train
3d66__5__56106_桌子_04,0,train
3d66__5__56112_台灯,3,train
3d66__5__56671_椅子004,1,train
3d66__5__57082_桌子1--------10,0,train
3d66__5__57303_床头柜_None,5,train
3d66__5__5787_椅子01,3,train
3d66__5__59813_柜子1,1,train
3d66__6__60247_桌子003,1,test
3d66__6__61166_摆件003,5,train
3d66__6__61257_柜子,3,test
3d66__6__61291_摆件002_2,5,train
3d66__6__61882_椅子,0,train
3d66__6__62192_床,5,train
3d66__6__62217_床1,0,train
3d66__6__62487_组005_5,0,train
3d66__6__62617_柜子02,3,train
3d66__6__63133_摆件004_None,5,val
3d66__6__63692_椅子001_None,5,test
3d66__6__64434_灯2,0,train
3d66__6__64532_摆件004_6,5,val
3d66__6__65301_椅子001_None,0,train
3d66__6__6571_椅子_None,5,val
3d66__6__66770_椅子002,3,train
3d66__6__67069_摆件3-6,0,train
3d66__6__68223_电视柜,1,train
3d66__6__68534_摆件017_1,5,train
3d66__6__69257_茶几001,5,train
3d66__6__69398_工具012_None,1,train
3d66__6__6993_玩偶01,5,val
3d66__7__71279_灯3,0,test
3d66__7__7150_办公椅07,0,train
3d66__7__71915_滑雪车,3,train
3d66__7__72057_摆件001-20,5,train
3d66__7__7251_食物01,3,train
3d66__7__73540_装饰品001,5,train
3d66__7__75424_椅子005,5,train
3d66__7__75585_椅子006,5,train
3d66__7__75833_雕塑016,1,val
3d66__7__76790_灯,2,train
3d66__7__77492_椅子001_None,5,val
3d66__7__77609_灯,1,train
3d66__7__78053_床头柜011,0,test
3d66__7__78130_闹钟001,5,train
3d66__7__79145_组1986701813_,1,train
3d66__7__79510_架子003,0,train
3d66__8__81047_灯,2,val
3d66__8__82136_抱枕003,5,train
3d66__8__82254_沙发,0,train
3d66__8__84076_椅子008,0,train
3d66__8__84188_壁灯002,3,train
3d66__8__85422_书籍025,5,test
3d66__8__86917_灯001,0,train
3d66__8__87029_沙发002,5,train
3d66__8__87386_椅子001,5,val
3d66__8__87510_摆件-9,1,train
3d66__8__87643_柜子4,1,train
3d66__8__87788_水果,5,train
3d66__8__88693_书003,5,train
3d66__8__89007_床,5,train
3d66__8__89556_橱柜,5,train
3d66__8__89820_灯1_None,1,train
3d66__9__90901_猫004,5,train
3d66__9__92832_吊灯,1,train
3d66__9__92975_蛋糕,3,val
3d66__9__93218_床,5,train
3d66__9__93906_凳子4,5,test
3d66__9__9407_瓶子3,5,train
3d66__9__94157_兔子玩偶_None,5,train
3d66__9__94495_椅子_2,5,train
3d66__9__94639_桌子,5,train
3d66__9__95840_挂钟7,3,train
3d66__9__9596_雕塑01,3,train
3d66__9__96388_床头柜3,5,train
3d66__9__96458_木制靠椅_None,3,train
3d66__9__96903_储物盒2,5,train
3d66__9__97040_微波炉-61,0,train
3d66__9__97583_电脑,1,train
3d66__9__97923_沙发01,0,test
3d66__9__98116_户外石块2_None,5,test
3d66__9__98277_床头柜2_None,1,train
3d66__9__98328_茶几_1,5,train
abo__2__B07YPLBD42,1,val
abo__3__B07HSHTN13,0,val
abo__8__B075X4J118,5,train
abo__B__B07B4Y45KB,0,train
abo__C__B074VL1JQC,5,train
abo__C__B07YPV3KTC,1,train
abo__L__B0828FCNML,1,train
abo__P__B07QHKJP7P,1,test
abo__Q__B07MF1NJ7Q,5,train
abo__W__B07B4SCN5W,3,train
abo__W__B07RL1V3FW,5,train
abo__W__B07RPZSM4W,5,val
games__APEX__ptpov_bolo_sword_ash_LOD0_None,2,val
games__APEX__toy_stand_LOD0_None,5,train
games__APEX__valkyrie_rockets_LOD0_None,2,train
games__Achilles_Legends_Untold__089_SM_Wall_Prop_01_None,3,test
games__Aircraft_Carrier_Survival__49_Landmark_CaravanIsland_RealDeal_200_None,0,val
games__Aircraft_Carrier_Survival__Placeable_TikiPole_Complete_2,5,train
games__Asterigos_Curse_Of_The_Stars__1074_merged_0_1_outerRimC_pillarl_a01_mesh_with_tex,5,train
games__Asterigos_Curse_Of_The_Stars__1353_slum_town_wood_wall_c01_mesh_with_tex_None,3,train
games__Asterigos_Curse_Of_The_Stars__1392_mine_quarry_wood_elevator_big_walkway_a04_mesh_with_tex_None,5,train
games__Asterigos_Curse_Of_The_Stars__1525_merged_4_1_academyA_tem_frieze_a01_mesh_with_tex_None,1,train
games__Asterigos_Curse_Of_The_Stars__701_military_phalan_doorframe_large_a01_mesh_with_tex_None,5,train
games__Atomic_Heart__442_SM_Block_Houses_Underwater_city_with_tex_1,3,train
games__Bassmaster_Fishing__062_SM_Microphone01_Microphone01_with_tex_None,3,train
games__Counter_Strike_2__bk01_w02_shutter02_left_a_lp_None,5,train
games__Counter_Strike_2__bleach_bottle001_nolabel_None,5,test
games__Counter_Strike_2__ctm_swat_variantk_None,3,train
games__Counter_Strike_2__dust_kasbah_merlon002b,5,train
games__Counter_Strike_2__dust_kasbah_mudbrick_pile_04,5,train
games__Counter_Strike_2__ladder_01_open_None,3,train
games__Counter_Strike_2__prop_concrete_formwork,5,train
games__Counter_Strike_2__xen_fin002_None,5,train
games__DD2__sm50_521_00mesh_None,5,val
games__DD2__tops_525_bd_fmesh_1_None,2,test
games__DD2__tops_614_am_mmesh_None_None,5,test
games__DD2__wp06_002mesh_None,5,train
games__Darksiders_Genesis__376_SM_PROXY_Dn_HL_Wood_Barrel_C_2,0,train
games__Darksiders_Genesis__384_Dn_HL_WoodChunk_C_None,0,train
games__Darksiders_Genesis__387_Dn_EN_Crate_Ornate_B_None,0,train
games__Deadlock__building_cabstand01_debris01b_None,5,train
games__Deadlock__rooftop_chimney_simple_c,5,train
games__Deceive_Inc__1109_SM_VendingMachine_02_1,5,train
games__Deceive_Inc__1685_SKM_yumi_DI_uniform_v01_None,5,val
games__Deliver_At_All_Costs__098_Bertha_Cutscene (1)_1,1,train
games__Devil_May_Cry_5__sm0477_chandelier01mesh_None,4,train
games__Devil_May_Cry_5__sm1653_m10distantviewlite_14jump01mesh_3,5,train
games__Dota_2__Bracers_03_Set_None_None,1,val
games__Dota_2__am_debut_temple_lantern_2,1,train
games__Dota_2__eye_of_lyralei,5,train
games__Dota_2__glittering_hawk_weapon_None,1,val
games__Dota_2__lionheart_guardian_weapon,1,train
games__Dota_2__northern_forester_sniper_None,1,val
games__Dota_2__pilgrim_of_the_snowy_shrine_weapon_None,1,test
games__Dota_2__pugna_researcher_of_oblivion_magic_1,0,test
games__Dota_2__silver_dragon_king_weapon_None,1,train
games__Empires_Of_The_Undergrowth__320_Mound_Entrance_Freeplay_None,5,val
games__Forgive_Me_Father__157_Path_14_StaticMesh_with_tex_None,0,train
games__HUMANKIND__067_Human_With_Thrown_Weapon_And_Shield_None,2,test
games__Half_Life_Alyx__basestation_microphone_physical001_None,3,train
games__Half_Life_Alyx__tenements_roof_chimneys_section_1_None,5,train
games__Half_Life_Alyx__top11,2,test
games__Headliners__192_SM_Monitor_04_None,5,train
games__Headliners__485_SM_Info_Plate_06_None,5,train
games__Headliners__757_SM_Box_01_None,0,val
games__Layers_Of_Fear_3__1915_sm_en_seta_clothes_h_with_tex_None,5,train
games__Life_Is_Strange_Remastered__074_SK_Tech_Microphone01_None,5,val
games__Life_Is_Strange_Remastered__1442_ST_Fab_BackPack01_None,3,train
games__Life_Is_Strange_Remastered__1877_ST_Light_DinerNeon01_None,0,test
games__Lightyear_Frontier__532_SM_PillarBroken_Preset_Ivy_04_with_tex_None,1,test
games__Monster_Hunter_Rise__f_combined_330_None,1,train
games__Monster_Hunter_Rise__ota_item035mesh_LOD0_None,5,test
games__Monster_Hunter_Rise__sm813_042_01mesh_LOD0_2,5,val
games__Monster_Hunter_Rise__sm824_066_00mesh_LOD0_1_01,1,train
games__Mortal_Shell__297_BurnedMace_None,5,train
games__ParanormalHK__1028_SM_BookHeap_combined05_3,5,test
games__Phoenix_Point__667_ALN_Queen_Right_Arm_Gun_None,5,train
games__Resident_Evil_2__sm35_004_PendantLight01A_00msmesh_None,4,train
games__Resident_Evil_2__sm36_052_Book01A_00msmesh_9,0,test
games__Resident_Evil_2__sm46_600_SmallRubble01A_00mdmesh_None,0,train
games__Resident_Evil_3__01_3,0,train
games__Resident_Evil_3__1170_sm20_408_es_bathroomdoor01a_00msmesh_None,3,train
games__Resident_Evil_3__1712_sm10_401_es_outdoorplant01a_00msmesh_None,5,train
games__Resident_Evil_3__1725_sm73_201_warehousekey01a_00mdmesh_None,5,test
games__Resident_Evil_7_Biohazard__039_sm0583_videotape01bmesh_None,0,train
games__Resident_Evil_7_Biohazard__1081_sm0604_toolbox01bmesh_None,3,val
games__Resident_Evil_7_Biohazard__1229_sm9209_boss2fbefore01amesh_None,0,val
games__Resident_Evil_7_Biohazard__1241_sm0568_woodboard01emesh_None,5,test
games__Resident_Evil_7_Biohazard__312_sm0751_pot04bmesh_None,0,train
games__Resident_Evil_7_Biohazard__491_sm0849_magazine01bmesh_None,0,test
games__Resident_Evil_Village__1453_sm15_018_wallrocka_01mesh_None,0,train
games__Resident_Evil_Village__1988_sm40_040_desklight01_00mesh_None,1,train
games__Resident_Evil_Village__2198_sm31_066_stool_00mesh_None,0,test
games__Resident_Evil_Village__2570_sm31_006_sofabed01_00mesh_None,0,train
games__Resident_Evil_Village__2785_sm29_093_firewoodhut_00mesh_None,0,val
games__SUSHI_SOUL_UNIVERSE__275_SC_SM_Seawall01,1,train
games__Scholars_Mate__413_SM_Key_0_None,1,test
games__Street_Fighter_6__1714_sm66_154_doorb_00mesh_None,1,train
games__Street_Fighter_6__3032_sm50_077_signboard_00mesh_None,1,train
games__Totally_Accurate_Battle_Simulator__mango,5,train
games__Warhammer_40K_Rogue_Trader__1023_Character.animator_663_None,0,train
games__Warhammer_40K_Rogue_Trader__694_Character.animator_231_None,0,train
games__Wasteland_3__Ranger_Male_891_None,0,test
hssd__6b7a97410962beeaac98352e4c73f61b49f04f8a,2,train
hssd__8be12bde64c1540adeb4237219dff8a004c442ff,0,train
hssd__xxxx8fef0b6fx2748x49e1xb5cbx543d7b04c65a,3,train
kitbash__0690de6307f712af6c45c9d92ae97d4cb8e1f4e7cf9dd9ed3f863323c3822805,0,val
kitbash__134cd8a877f3c1343dda6716e702b7a988b53fd212b2ca67d4e2eb6e00a8b781,1,train
kitbash__246b625c161fe2d1ae7538595960da50cb60afc020cbb354fd2f8eb47640dda9,2,train
kitbash__414c070f8eacb379242d579dc2819c442d1b2a15df76e812c362907cb4b03823,5,test
kitbash__5b7d0144de3da088b59f64db4c4c39edc756ba939b239c14ef46f54762e0b561,0,train
kitbash__5ebb965c850580cfa154b10b448748ca513d9bcd55884f272e6e006ad11b18e4,0,train
kitbash__72ba2999ca0ebff119481673177e5e7bc5d92489e7da7913cd1f150cf6a00a87,0,train
kitbash__78df75a2cbebbf601ccc531e0605b7134c4442579f9da6013746fee20df8b0df,1,train
kitbash__8107affef4ef492cce0814de8c69bfb6df59da9bdc81ad4bb737407c3711c631,0,train
kitbash__86f68200b43586f7110ed04dc7357fa7040af36a6f013ff3e4143ef677b8ea42,4,test
kitbash__ccee810d4e5c73506f4158d1b1cc06364c59c128b065fbbc3f2d551afd394f71,0,val
kitbash__da505a890321e2117837eaa5b0926d19b40ad954d4a499ffce16bb0bf2746cff,0,test
kitbash__e110f9544c30eae7fe8d100545d07276d94de82a1d44a2e9f817e0393c8a8a8b,0,train
kitbash__e7c1153cb3948ceb1a517a6983c6018d87fa24543c54903d5b50005eb5c3791d,3,test
kitbash__e7efd20948d5f2dfc85ca0c82d116924d5589d71a8001a18adb40877c5771aad,2,test
megascan__31b2b6e60fc3b5322e9c5b85b3fe23cc89ac3069f90ef22f89dfd603e108779d,5,val
megascan__dc33512115c6c2fd3b21fdb4cd3692cc1e8859b93c8958fd8785802238c43dbc,5,train
pbrmax__00175_MD_Pier_17,5,val
pbrmax__10034_MD_Stone_10,5,val
pbrmax__125491_MD_Pillars_8,5,train
pbrmax__7481_Door,3,train
pbrmax__Peach_18,5,train
pbrmax__PlayingCard,5,train
pbrmax__Rock_59,5,train
project-aria__Can_Toy_B0C1KFXZ6C_SlicedCarrots,5,train
project-aria__Pottery_B099D9DXQ9_SmallWhite,5,train
project-aria__WhitePictureLedge,5,train
sketchfab-objaverse__07__0787310e01c04d91966a11d82d304768_None,2,val
sketchfab-objaverse__0f__0f378da38bb14b3c8661238d49783ec8_None,3,train
sketchfab-objaverse__10__109a282b9a7c4cf6954be7ed89b4aa9f_None,5,test
sketchfab-objaverse__14__14c1a775dbc54115be54c75949fa680f,1,train
sketchfab-objaverse__17__17dd8ff638da4b18b607d2a6184f2a69_None,4,val
sketchfab-objaverse__20__20ba4db2ed7a4b839017a6b04f6d2b31_None,3,train
sketchfab-objaverse__22__22f2b287c54946b4b1fd306053fcc37c,0,train
sketchfab-objaverse__25__25397dd73cc84a25b33b943a9d572e27,3,test
sketchfab-objaverse__27__27a1fecbfe5d4b8caa96d2f193494420_6,5,test
sketchfab-objaverse__2a__2a1aa6ad6a27420aac7a4f1c7687663f,0,val
sketchfab-objaverse__2b__2bd5b5eb539c4d59a5b5b8c50554ad92_None,1,test
sketchfab-objaverse__2d__2d5c8bf56ff14f5fbf3ab8f869d40a40,4,train
sketchfab-objaverse__2f__2fcf94a51c044a03a16e8506e93bc257_None,0,train
sketchfab-objaverse__37__37999487138b4681983c8f0c733b7901,1,train
sketchfab-objaverse__43__43c43f11b6df431f8499d99b2029edca,4,train
sketchfab-objaverse__45__45387565b6cf45cba801b33c9e7302b2_None,0,train
sketchfab-objaverse__48__48485fc2748645b4b6148ae5bc302aab_3,5,test
sketchfab-objaverse__48__4849f669c92b42518111ab3fb698d209,3,train
sketchfab-objaverse__4b__4be75f202c1b40b69fc5d5ae94f58f6d_None,5,test
sketchfab-objaverse__4e__4e6301d1a26d4b92b506ddcf68d62ed0,1,train
sketchfab-objaverse__4f__4ffedc9bffad4a549f6e0a46b0f92b05,0,train
sketchfab-objaverse__50__5040eb8e55ec46bc90ae46090f577a91_3,1,train
sketchfab-objaverse__51__519e5c18a4ce467ebc6b37c1797869c8_1,5,train
sketchfab-objaverse__51__51ad887a21514a3db121fa5f68aca897,0,train
sketchfab-objaverse__53__5337c48660b047b9b351e116958ada40_1,5,train
sketchfab-objaverse__55__55dbcebdd9ab4a67be0fb59f38e57026,5,val
