model_name,x,y,model_name,batch,tier,final_score,pbr_type,base_color_score,normal_score,roughness_score,metallic_score,normal_map_expected_score,normal_map_pred_score,roughness_expected_score,roughness_pred_score,metallic_expected_score,metallic_pred_score,base_color_expected_score,base_color_pred_score
3d66__1__1018_雕塑002,-46.58152770996094,12.102970123291016,3d66__1__1018_雕塑002,batch_1,Tier 5 (勉强可用),1.0,physical,2,0,2,0,0.00023071040050126612,0,1.7027477025985718,0,2.871840476989746,5,2.398463010787964,0
3d66__2__25979_角色02,-5.228147506713867,-41.665931701660156,3d66__2__25979_角色02,batch_1,Tier 4 (手游级),1.79,stylized,3,0,1,5,9.070761007023975e-05,0,1.132697582244873,0,4.949996471405029,5,1.7340021133422852,0
3d66__3__30561_椅子2,-65.4991226196289,-5.347579479217529,3d66__3__30561_椅子2,batch_1,Tier 5 (勉强可用),0.5,uncertain,1,0,1,0,1.9756115146596365e-13,0,0.3637872338294983,0,4.568769454956055,5,2.6704185009002686,5
3d66__3__31271_电视柜,-56.55495071411133,-9.116510391235352,3d66__3__31271_电视柜,batch_1,Tier 4 (手游级),1.75,physical,2,0,2,5,3.3016971379140614e-09,0,1.618346929550171,0,4.875086307525635,5,3.437289237976074,5
3d66__3__36266_手提包_007,-46.56219482421875,-6.502607345581055,3d66__3__36266_手提包_007,batch_1,Tier 4 (手游级),1.9,physical,2,0,3,5,4.975688352715224e-05,0,1.893390417098999,0,4.739072799682617,5,2.7917892932891846,5
3d66__4__42650_饰品_06_None,18.833066940307617,-47.77317428588867,3d66__4__42650_饰品_06_None,batch_1,Tier 4 (手游级),1.94,physical,3,0,2,5,1.2402496337890625,0,0.4008369445800781,0,4.87609338760376,5,3.1780190467834473,5
3d66__5__56112_台灯,-32.599853515625,32.183956146240234,3d66__5__56112_台灯,batch_1,Tier 5 (勉强可用),1.45,physical,2,0,2,3,0.15885724127292633,0,1.1002837419509888,0,2.1784780025482178,0,2.716613292694092,5
3d66__6__60247_桌子003,-55.755184173583984,3.434720039367676,3d66__6__60247_桌子003,batch_1,Tier 5 (勉强可用),1.19,physical,3,0,1,1,2.431586949569464e-07,0,0.7338916659355164,0,2.158635139465332,0,3.013543128967285,5
3d66__6__63692_椅子001_None,1.6454490423202515,-34.858299255371094,3d66__6__63692_椅子001_None,batch_1,Tier 4 (手游级),1.98,physical,4,0,1,5,0.006428780034184456,0,0.2847984731197357,0,4.859279632568359,5,3.3488502502441406,5
3d66__6__65301_椅子001_None,-8.806415557861328,-29.519973754882812,3d66__6__65301_椅子001_None,batch_1,Tier 5 (勉强可用),0.69,physical,2,0,1,0,8.61200169310905e-06,0,0.7082346677780151,0,0.11062922328710556,0,2.0069005489349365,0
3d66__6__69257_茶几001,-74.82379913330078,-1.1895893812179565,3d66__6__69257_茶几001,batch_1,Tier 4 (手游级),2.28,physical,4,0,3,5,2.7837178769767393e-15,0,3.2426931858062744,5,4.975518703460693,5,3.2921433448791504,5
