model_name,x,y,model_name,batch,tier,final_score,pbr_type,base_color_score,normal_score,roughness_score,metallic_score,normal_map_expected_score,normal_map_pred_score,roughness_expected_score,roughness_pred_score,metallic_expected_score,metallic_pred_score,base_color_expected_score,base_color_pred_score
3d66__1__100644_吊灯1,12.153975486755371,14.304277420043945,3d66__1__100644_吊灯1,batch_1,Tier 5 (勉强可用),1.45,physical,2,0,2,3,0.0008196027483791113,0,0.8809869885444641,0,2.15726375579834,0,2.062290668487549,0
3d66__1__101377_小桌子,14.2284574508667,5.930082321166992,3d66__1__101377_小桌子,batch_1,Tier 5 (勉强可用),0.69,physical,2,0,1,0,2.1617874591123298e-13,0,0.037176232784986496,0,0.18376992642879486,0,0.2645995616912842,0
3d66__1__101872_床头柜,14.026457786560059,5.897500038146973,3d66__1__101872_床头柜,batch_1,Tier 4 (手游级),2.13,physical,4,0,2,5,3.1335695892470775e-15,0,2.5604348182678223,3,4.907580852508545,5,3.5967321395874023,5
3d66__1__101995_鲸鱼抱枕,12.165771484375,12.300811767578125,3d66__1__101995_鲸鱼抱枕,batch_1,Tier 5 (勉强可用),0.73,physical,3,0,0,0,0.009181506931781769,0,0.12107013165950775,0,0.48766350746154785,0,2.394643783569336,0
3d66__1__105396_行李箱,8.065010070800781,10.711725234985352,3d66__1__105396_行李箱,batch_1,Tier 4 (手游级),1.64,physical,3,0,2,3,1.2675984351062652e-07,0,1.2254493236541748,0,2.5080666542053223,0,3.4102580547332764,5
3d66__2__25024_书籍01,7.488887786865234,11.001195907592773,3d66__2__25024_书籍01,batch_1,Tier 4 (手游级),1.94,physical,3,0,2,5,0.01174440048635006,0,0.8902325630187988,0,4.745092868804932,5,3.1564674377441406,5
3d66__2__29766_沙发01,12.756415367126465,5.786280155181885,3d66__2__29766_沙发01,batch_1,Tier 5 (勉强可用),0.91,physical,0,0,0,5,1.8276471891454094e-08,0,0.02842160128057003,0,4.578967094421387,5,2.181459426879883,0
3d66__2__29996_罐子001,8.888724327087402,13.865907669067383,3d66__2__29996_罐子001,batch_1,Tier 3 (游戏级),2.99,physical,4,2,2,5,2.2348718643188477,0,2.4761626720428467,3,4.875805854797363,5,3.923456907272339,5
3d66__3__30314_吊灯_05,14.036837577819824,6.932918071746826,3d66__3__30314_吊灯_05,batch_1,Tier 5 (勉强可用),1.06,physical,0,0,1,5,1.2977138794667553e-06,0,0.013985204510390759,0,4.229027271270752,5,1.2827826738357544,0
3d66__3__39854_道具_49_None,10.854052543640137,13.384159088134766,3d66__3__39854_道具_49_None,batch_1,Tier 4 (手游级),1.53,physical,4,0,1,2,0.01633918285369873,0,0.24358037114143372,0,2.933279037475586,5,3.8357596397399902,5
